Date,1COV_X,ADS_X,ALV_X,BAS_X,BAYN_X,BEI_X,BMW_X,CON_X,DAI_X,DB1_X,DBK_X,DPW_X,DTE_X,EOAN_X,FME_X,FRE_X,HEI_X,HEN3_X,IFX_X,LHA_X,LIN_X,MRK_X,MTX_X,MUV2_X,RWE_X,SAP_X,SIE_X,VNA_X,VOW3_X,WDI_X,Index
2000-01-03,,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6750.759765999999
2000-01-04,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6586.950195
2000-01-05,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6502.069824
2000-01-06,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6474.919922
2000-01-07,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6780.959961
2000-01-10,,73.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6925.52002
2000-01-11,,72.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6891.25
2000-01-12,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6912.810059
2000-01-13,,69.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6955.97998
2000-01-14,,67.35,,,,,,,,,,,,,,143.0,,,,,,,,,,,,,,,7173.220215
2000-01-17,,68.0,,,,,,,,,,,,,,143.0,,,,,,,,,,,,,,,7258.899901999999
2000-01-18,,68.0,359.23,47.95,45.1,68.0,27.0,18.2,,,85.05,,69.9,47.61,77.5,143.0,72.99,61.5,,,,30.45,,298.9,,554.0,133.0,,31.54,,7072.120117
2000-01-19,,66.6,360.0,49.84,45.1,69.9,27.59,17.15,,,84.8,,69.25,48.0,77.99,143.99,73.8,61.64,,21.85,51.0,30.5,,300.0,35.99,549.0,131.25,,30.65,,7091.040039
2000-01-20,,65.5,360.9,49.4,44.5,69.9,26.2,17.2,71.0,,84.15,,69.25,50.28,78.75,143.99,72.5,60.15,,21.24,50.45,31.4,,287.6,35.3,562.9,137.43,,30.1,,7112.660156
2000-01-21,,65.55,351.5,48.05,43.75,65.4,25.75,17.6,71.09,,82.51,,66.85,49.0,81.5,144.0,73.0,59.96,,21.5,51.05,31.0,,284.5,36.55,560.0,137.0,,30.1,,6992.75
2000-01-24,,66.0,347.0,47.18,44.0,64.9,24.75,17.3,69.9,,80.6,,64.4,48.3,82.64,144.0,71.25,60.0,,21.08,52.6,31.2,,276.5,36.01,581.0,140.65,,29.85,,6931.990234000001
2000-01-25,,63.84,333.5,45.25,41.7,64.0,23.33,17.13,67.5,,78.4,,66.01,46.5,80.05,142.0,71.25,60.38,,20.58,50.3,30.3,,265.71,35.18,565.0,142.0,,29.25,,6809.640137
2000-01-26,,61.65,342.0,44.02,41.6,67.5,24.45,16.7,67.1,,79.46,,70.7,46.1,78.99,145.99,74.0,59.5,,21.45,49.0,30.81,,280.4,34.69,575.0,142.0,,28.94,,6969.370117
2000-01-27,,65.35,351.9,44.55,40.9,68.0,24.25,16.8,69.85,,79.2,,75.5,44.62,80.4,141.51,73.5,59.5,,21.45,48.05,31.39,,272.8,33.9,608.5,149.9,,29.7,,7126.129883
2000-01-28,,62.0,349.42,45.25,41.15,68.0,25.02,16.95,68.15,,78.54,,71.9,45.0,80.8,152.0,73.5,58.75,,21.6,48.42,31.4,,281.01,34.15,619.5,151.1,,29.03,,7066.600098000001
